key	name
27k protein	None
aberrant gag protein	None
aberrant pol protein	None
aberrant vpr protein	None
accessory protein	None
antisense protein, asp	None
aso1	None
beta-lactamase	None
ca protein	None
ca, p24	None
core and na binding protein	None
core protein	None
elongated nef protein	Nef
env	Env
env (gp160)	Env-gp160
env 26 peptide (pxy104)	None
env c2-v3-c2	None
env c2-v3-c3	None
env c2-v3_c3	None
env c2v3 protein	None
env c3-v3-c3	None
env glycoprotein	Env
env polypeptide	Env
env polypeptide, c2-v3	None
env polypeptide, c2-v3 gp120	None
env polypeptide, c2-v3 of gp120	None
env polypeptide, gp41	Env-gp41
env polyprotein	Env
env polyprotein precursor	Env
env protein	Env
env protien	Env
envelop glycoprotein	Env
envelope	Env
envelope (gp160)	Env
envelope gene	Env
envelope glucoprotein	Env
envelope glycopprotein	Env
envelope glycoprotein	Env
envelope glycoprotein 120	Env-gp120
envelope glycoprotein 120 v3 region	None
envelope glycoprotein 120/41	Env
envelope glycoprotein c2-v3 region	None
envelope glycoprotein c2v3 region	None
envelope glycoprotein c2v3-c3 region	None
envelope glycoprotein c2v5 region	None
envelope glycoprotein gp12	Env-120
envelope glycoprotein gp120	Env-gp120
envelope glycoprotein gp120 c2v3 region	None
envelope glycoprotein gp120 v3 region	None
envelope glycoprotein gp120, c2-v3 region	None
envelope glycoprotein gp160	Env-gp160
envelope glycoprotein gp160 precursor	Env
envelope glycoprotein gp41	Env-gp41
envelope glycoprotein gp41 domain	Env-gp41
envelope glycoprotein gp41 region	Env-gp41
envelope glycoprotein immunodominant region	None
envelope glycoprotein precursor	Env
envelope glycoprotein precursor gp120	Env-gp120
envelope glycoprotein precursor gp160	Env
envelope glycoprotein precursor gp41	Env-gp41
envelope glycoprotein precursor, gp160	Env
envelope glycoprotein v1/v2 region	None
envelope glycoprotein v1v2 region	None
envelope glycoprotein v2 region	None
envelope glycoprotein v3	None
envelope glycoprotein v3 loop region	None
envelope glycoprotein v3 region	None
envelope glycoprotein v3-v4 region	None
envelope glycoprotein v3-v5 loop region	None
envelope glycoprotein v3-v5 region	None
envelope glycoprotein v4 region	None
envelope glycoprotein v4v5 region	None
envelope glycoprotein v5 region	None
envelope glycoprotein, c2-c4 region	None
envelope glycoprotein, c2-v3 region	None
envelope glycoprotein, c2-v5 region	None
envelope glycoprotein, c2v3 region	None
envelope glycoprotein, v1-v2 region	None
envelope glycoprotein, v1-v3 region	None
envelope glycoprotein, v1-v5 region	None
envelope glycoprotein, v1v2 region	None
envelope glycoprotein, v3 loop region	None
envelope glycoprotein, v3 region	None
envelope glycoprotein, v3-v5 loop region	None
envelope glycoprotein, v3-v5 region	None
envelope glycoprotein, v3v4v5 region	None
envelope glycoprotein, v4v5 region	None
envelope glycoprotien	Env
envelope glylcoprotein	Env
envelope gp120	Env-gp120
envelope gp120 v3 region	None
envelope gp160 precursor	Env
envelope gp41 glycoprotein	Env-gp41
envelope gylcoprotein gp41	Env-gp41
envelope polyprotein	Env
envelope polyprotein    Env	None
envelope polyprotein gp160	Env
envelope polyprotein precursor	Env
envelope polyprotein variant	Env
envelope protein	Env
envelope protein gp120/gp41	Env
envelope protein gp160 precursor	Env
envelope protein v3 and v5 regions	None
envelope protein v3 domain	None
